tconst,titleType,averageRating,numVotes
tt0034522,movie,6.7,5102
tt0034583,movie,8.5,607586
tt0034587,movie,7.2,26086
tt0034591,movie,7.6,3168
tt0034613,movie,4.6,3521
tt0034646,movie,6.8,2601
tt0034694,movie,7.2,3031
tt0034734,movie,7.0,2143
tt0034742,movie,6.7,4262
tt0034746,movie,7.0,3851
tt0034778,movie,7.6,4124
tt0034786,movie,6.1,7123
tt0034798,movie,7.0,7415
tt0034862,movie,7.3,17652
tt0034881,movie,7.1,9568
tt0034890,movie,7.3,5274
tt0034891,movie,7.2,6468
tt0034902,movie,6.0,2666
tt0034922,movie,6.5,4694
tt0034928,movie,6.7,4712
tt0034936,movie,6.7,3243
tt0034946,movie,7.5,5058
tt0034965,movie,7.3,3153
tt0035015,movie,7.6,26844
tt0035019,movie,7.4,7666
tt0035082,movie,6.8,2236
tt0035093,movie,7.6,19521
tt0035096,movie,5.5,3872
tt0035140,movie,7.9,19074
tt0035151,movie,6.4,3277
tt0035153,movie,7.0,2535
tt0035160,movie,7.6,8308
tt0035169,movie,7.5,12906
tt0035173,movie,6.8,2412
tt0035209,movie,7.0,2416
tt0035211,movie,7.6,12028
tt0035238,movie,7.9,8449
tt0035244,movie,6.6,3556
tt0035262,movie,7.0,5868
tt0035279,movie,7.1,28048
tt0035317,movie,6.5,6673
tt0035318,movie,6.4,5207
tt0035369,movie,6.7,3263
tt0035415,movie,7.3,2520
tt0035417,movie,7.5,9151
tt0035419,movie,6.5,3593
tt0035423,movie,6.4,89241
tt0035429,movie,7.5,4357
tt0035432,movie,7.4,10655
tt0035446,movie,8.1,43246
tt0035460,movie,6.2,2048
tt0035521,movie,7.2,2469
tt0035530,movie,6.6,2202
tt0035555,movie,7.3,2718
tt0035567,movie,7.1,11037
tt0035575,movie,7.6,16898
tt0035583,movie,7.2,4100
tt0035605,movie,6.5,2448
tt0035608,movie,7.0,4563
tt0035616,movie,7.0,3827
tt0035664,movie,6.9,2731
tt0035665,movie,6.1,2479
tt0035703,movie,7.1,3424
tt0035753,movie,7.8,10928
tt0035795,movie,6.1,2253
tt0035799,movie,7.1,5759
tt0035884,movie,7.3,6858
tt0035896,movie,6.8,10264
tt0035899,movie,6.4,9998
tt0035916,movie,6.6,2066
tt0035937,movie,6.6,3795
tt0035942,movie,6.8,2246
tt0035957,movie,6.6,2285
tt0035959,movie,6.9,2942
tt0035966,movie,7.4,6410
tt0035979,movie,7.3,12415
tt0036022,movie,7.0,2470
tt0036027,movie,7.0,13700
tt0036094,movie,6.3,2789
tt0036098,movie,7.1,5951
tt0036104,movie,6.7,5967
tt0036112,movie,8.0,16433
tt0036126,movie,7.2,3201
tt0036172,movie,7.6,7495
tt0036174,movie,7.1,3549
tt0036191,movie,7.0,2187
tt0036230,movie,7.4,3871
tt0036241,movie,5.4,4998
tt0036244,movie,8.0,25019
tt0036260,movie,7.2,5775
tt0036261,movie,6.4,8346
tt0036323,movie,7.5,9826
tt0036341,movie,6.7,7590
tt0036342,movie,7.8,70694
tt0036348,movie,6.9,5182
tt0036349,movie,6.7,4760
tt0036367,movie,7.4,2097
tt0036376,movie,6.1,6214
tt0036377,movie,7.6,7669
tt0036391,movie,7.3,2896
tt0036400,movie,6.7,5654
tt0036414,movie,6.2,2389
tt0036422,movie,6.8,2167
tt0036431,movie,7.5,3748
tt0036506,movie,8.1,11130
tt0036515,movie,7.1,4988
tt0036613,movie,7.9,75076
tt0036641,movie,7.1,2353
tt0036653,movie,5.9,2139
tt0036695,movie,7.3,6509
tt0036696,movie,6.9,3351
tt0036723,movie,6.7,5958
tt0036733,movie,6.7,7201
tt0036775,movie,8.3,167885
tt0036807,movie,6.3,2133
tt0036818,movie,7.7,6621
tt0036824,movie,6.4,3930
tt0036855,movie,7.8,34062
tt0036868,movie,8.1,70827
tt0036872,movie,7.0,13498
tt0036891,movie,7.6,5155
tt0036910,movie,7.0,7094
tt0036914,movie,7.3,3778
tt0036922,movie,7.0,2533
tt0036931,movie,6.2,7831
tt0036940,movie,7.1,2527
tt0036947,movie,5.6,2422
tt0036953,movie,6.6,2128
tt0036959,movie,5.7,2755
tt0036962,movie,7.0,2877
tt0036969,movie,7.5,9534
tt0036983,movie,7.2,3103
tt0037008,movie,7.9,51698
tt0037017,movie,7.6,31250
tt0037024,movie,7.1,4116
tt0037055,movie,7.2,3976
tt0037059,movie,7.5,27738
tt0037075,movie,7.1,8984
tt0037077,movie,7.6,7957
tt0037094,movie,7.6,6705
tt0037098,movie,5.4,3389
tt0037099,movie,5.5,3444
tt0037101,movie,7.5,14744
tt0037120,movie,7.3,8027
tt0037135,movie,6.4,2835
tt0037166,movie,6.8,5056
tt0037168,movie,7.1,4877
tt0037193,movie,6.8,2431
tt0037219,movie,6.2,2753
tt0037248,movie,7.2,5860
tt0037263,movie,7.4,3020
tt0037280,movie,7.5,5103
tt0037303,movie,7.0,5149
tt0037323,movie,7.4,2371
tt0037330,movie,7.4,3573
tt0037343,movie,6.9,3499
tt0037365,movie,7.3,6298
tt0037366,movie,7.2,6475
tt0037367,movie,7.3,4014
tt0037382,movie,7.8,38086
tt0037415,movie,7.2,12496
tt0037449,movie,6.9,2236
tt0037469,movie,7.6,17837
tt0037492,movie,6.3,2403
tt0037508,movie,6.5,2418
tt0037514,movie,7.0,9455
tt0037515,movie,7.4,16706
tt0037522,movie,6.6,4383
tt0037536,movie,7.2,9402
tt0037547,movie,6.0,2280
tt0037549,movie,7.3,10224
tt0037558,movie,8.0,44384
tt0037576,movie,6.3,2080
tt0037595,movie,7.3,12049
tt0037604,movie,7.3,4058
tt0037611,movie,7.1,4627
tt0037614,movie,7.3,3225
tt0037615,movie,6.6,2465
tt0037630,movie,7.2,4846
tt0037635,movie,7.5,14260
tt0037638,movie,7.3,19791
tt0037644,movie,6.5,2144
tt0037671,movie,7.5,3534
tt0037674,movie,8.3,21234
tt0037691,movie,7.0,6539
tt0037761,movie,7.4,4154
tt0037793,movie,5.7,6181
tt0037794,movie,7.2,5557
tt0037795,movie,6.6,3318
tt0037798,movie,2.6,3076
tt0037800,movie,7.4,9818
tt0037820,movie,6.5,5273
tt0037824,movie,7.7,10886
tt0037859,movie,6.7,2575
tt0037865,movie,7.6,14829
tt0037884,movie,7.9,40305
tt0037913,movie,7.9,28812
tt0037931,movie,6.9,2032
tt0037932,movie,7.0,3772
tt0037939,movie,7.0,2167
tt0037954,movie,7.3,5561
tt0037963,movie,7.6,2360
tt0037988,movie,7.5,14492
tt0038008,movie,6.7,4107
tt0038032,movie,7.1,3757
tt0038057,movie,7.7,19269
tt0038107,movie,7.1,3882
tt0038109,movie,7.5,52362
tt0038116,movie,7.0,4515
tt0038120,movie,7.2,3773
tt0038151,movie,6.2,2599
tt0038160,movie,7.2,9310
tt0038166,movie,6.3,15626
